sample, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
83, -0.087646, 0.248047, 0.757080, -12.557252, 66.419846, 32.496181
84, -0.294678, -0.095215, 0.918945, 7.167939, 17.877863, 90.083969
85, -0.742920, 0.057373, 1.035889, -27.000000, -39.908398, 76.885498
86, -0.502930, -0.458740, 0.752197, -22.305344, 48.801525, 65.045799
87, -0.799072, -0.395264, 1.361572, 46.702290, 22.549618, -9.244275
88, -0.665283, -0.352539, 1.400391, 85.557251, -31.442749, -120.625954
89, -0.204346, 0.124512, 1.363037, 34.854961, -3.236641, -66.748093
90, -0.066406, 0.632080, 1.361328, -29.389313, 21.480917, -55.931297
91, -0.252930, 0.720703, 1.143311, -97.183205, 52.702290, 21.190840
92, -0.348389, -0.047607, 0.744141, -51.106869, 72.427483, 109.145035
93, -0.366211, -0.391113, 0.714844, -26.083969, -61.450382, 111.274811
94, -0.636719, -0.431885, 0.707520, 43.160305, -14.656488, 70.274811
95, -1.316406, -0.155273, 1.395996, 75.725189, 5.557252, -43.526718
96, -0.721191, 0.022217, 1.128418, 87.847328, 12.641221, -118.274811
97, -0.447021, 0.414307, 1.284912, 63.755726, -20.458015, -119.763359
98, -0.149414, 0.550049, 1.219482, 44.022900, 39.129772, -11.908397
99, -0.407471, 0.671631, 0.808594, -24.503817, -41.496181, 19.389313
100, -0.378906, 0.479736, 0.915283, -139.374039, -14.885496, 67.374046
101, -0.813477, 0.077393, 0.456543, -100.335876, -5.259542, 97.290077
102, -1.035645, 0.123779, 0.706055, -24.190840, 76.419846, 60.427483
103, -1.101318, -0.041992, 1.376221, 91.053436, -14.549619, -7.244275
104, -0.916260, 0.009033, 1.340332, 43.076336, 35.541985, -73.183205
105, -0.768555, 0.137939, 1.401855, 35.526718, -24.923664, -90.167938
106, -0.290283, 0.481201, 1.116943, 16.648855, 6.374046, -16.938931
107, -0.010742, 0.212158, 0.228760, -22.671755, 0.114504, 21.854961
108, 0.193359, -0.062744, -0.374756, -45.496181, -98.816795, 45.778625
109, 0.019531, 0.158447, 0.858643, 137.801529, 101.877861, 75.022903
110, -0.517334, -0.011230, 0.906738, -8.992367, 250.129776, -51.435116
111, -0.562500, 0.040283, 1.033203, 4.458015, -48.404579, -45.885498
112, -0.679932, 0.336426, 0.937256, -20.694656, -40.122139, -36.595421
113, -0.226562, 0.103516, 0.376465, -9.511451, -69.076332, -50.076336
114, 0.363037, -0.202393, -0.072266, -66.099236, -18.641222, 8.610687
115, -0.130859, -0.002197, 0.571533, 27.992367, 83.893127, 76.076332
116, -0.690674, -0.190186, 1.454346, 1.374046, 29.519083, 22.839695
117, -1.260254, 0.188477, 1.889404, -26.068703, -18.145039, -26.221375
118, -0.645020, 0.203125, 0.980469, -149.404587, -42.236641, -104.725189
119, -0.052246, 0.187012, 0.295654, -82.374046, -14.832061, -48.809162
120, 0.325195, -0.836426, 0.281982, 4.954198, 92.900764, 68.320610
121, -0.447754, -1.179443, 0.680908, 102.839691, 50.389313, 21.106871
122, -0.769531, -0.378174, 1.302734, 175.809158, -9.083969, 60.068703
123, -0.673828, 0.171875, 1.153076, 162.328247, -26.992367, -56.083969
124, -0.513428, 1.157227, 0.629395, -120.488548, 125.633591, -54.274811
125, -0.335449, 0.144531, 0.610596, -193.931305, 12.183207, -33.022900
126, -0.778564, -0.375488, 0.701660, -71.496185, -165.641220, 91.519081
127, -0.645752, -0.643555, 0.925049, 64.091606, -32.351147, 103.732826
